Price,Date,Close,High,Low,Open,Volume
150,09-08-2010,7.885660172,7.897711122,7.8199841,7.877525378,303128000
151,10-08-2010,7.815160275,7.846492732,7.759124184,7.828416314,451920000
152,11-08-2010,7.537395,7.703092336,7.525947403,7.6943558,620054400
153,12-08-2010,7.585599422,7.625065082,7.414780803,7.431953007,534920400
154,13-08-2010,7.504555702,7.588307368,7.504254026,7.581378476,354869200
155,16-08-2010,7.460570335,7.531970986,7.429840422,7.458762693,318430000
156,17-08-2010,7.591021061,7.671158267,7.507569442,7.534081531,422640400
157,18-08-2010,7.624159813,7.672362808,7.579271231,7.602770583,339696000
158,19-08-2010,7.528058052,7.636514214,7.491905998,7.617232689,426706000
159,20-08-2010,7.52082634,7.649768297,7.501544818,7.513294898,384230000
160,23-08-2010,7.405140877,7.591926626,7.388572023,7.585600278,414041600
161,24-08-2010,7.228295803,7.320784029,7.189733567,7.310843202,602565600
162,25-08-2010,7.317468166,7.350608269,7.146047879,7.171354062,596867600
163,26-08-2010,7.238841534,7.403634691,7.238841534,7.394596476,466505200
164,27-08-2010,7.279208183,7.309033876,7.096640354,7.283125143,548391200
165,30-08-2010,7.30572319,7.403635176,7.250892157,7.253302347,383289200
166,31-08-2010,7.32379961,7.367784786,7.240951317,7.286140783,420786800
167,01-09-2010,7.541614532,7.575657265,7.419601458,7.455451834,697037600
168,02-09-2010,7.597044945,7.597044945,7.488588823,7.56962944,415427600
169,03-09-2010,7.795883656,7.796184527,7.667242563,7.685017314,520788800
170,07-09-2010,7.76695776,7.818775213,7.71995988,7.731709149,342557600
171,08-09-2010,7.920905113,7.965191129,7.805820198,7.826306804,526551200
172,09-09-2010,7.925431252,8.029367934,7.920912545,7.984781004,438575200
173,10-09-2010,7.935672283,7.968510727,7.875117452,7.929044259,387542400
174,13-09-2010,8.045026779,8.082383905,8.006465364,8.008272201,388780000
175,14-09-2010,8.075757027,8.109197198,7.999235123,8.020022604,408150400
176,15-09-2010,8.140831947,8.145653131,8.06913041,8.079072845,429368800
177,16-09-2010,8.332136154,8.335148891,8.119140865,8.14143512,652103200
178,17-09-2010,8.295984268,8.374012144,8.245070221,8.365877352,634477200
179,20-09-2010,8.532780647,8.5493503,8.310445465,8.317374358,658677600
180,21-09-2010,8.549051285,8.656904899,8.519527255,8.551763151,668074400
181,22-09-2010,8.668951035,8.675879926,8.508074122,8.517112332,585289600
182,23-09-2010,8.704200745,8.819887439,8.616231232,8.626172863,786116800
183,24-09-2010,8.806632042,8.843085762,8.753308601,8.800004824,649488000
184,27-09-2010,8.7716856,8.879237516,8.767166896,8.856643191,482834800
185,28-09-2010,8.642140388,8.790062171,8.284838591,8.790062171,1035042400
186,29-09-2010,8.657504082,8.731013256,8.616230791,8.65328625,469644000
187,30-09-2010,8.548444748,8.736736355,8.473127944,8.706609794,673391600
188,01-10-2010,8.51139164,8.633705569,8.476143012,8.6207512,448142800
189,04-10-2010,8.394498825,8.522837398,8.368287611,8.483673426,435302000
190,05-10-2010,8.704801559,8.720165308,8.490298757,8.495722487,501967200
191,06-10-2010,8.712335587,8.796690627,8.59393782,8.724386536,670868800
192,07-10-2010,8.713237762,8.751197441,8.643645554,8.74697961,408399600
193,08-10-2010,8.859351158,8.872305523,8.736736402,8.788252185,658403200
194,11-10-2010,8.898219109,8.954857782,8.875323907,8.879541741,427753200
195,12-10-2010,8.994020462,9.022942742,8.811753466,8.899723791,558544000
196,13-10-2010,9.042222023,9.097052227,9.031978717,9.044029665,630092400
197,14-10-2010,9.107599258,9.112418834,9.050056371,9.088920285,435296400
198,15-10-2010,9.482071877,9.489904993,9.185926647,9.262146887,922194000
199,18-10-2010,9.58028698,9.610412747,9.468516423,9.594446444,1093010800
200,19-10-2010,9.323904991,9.452846901,9.038605671,9.140433755,1232784000
201,20-10-2010,9.355242729,9.467314191,9.244979715,9.309149036,721624400
202,21-10-2010,9.324812889,9.482073781,9.24286803,9.41037223,551460000
203,22-10-2010,9.263051987,9.340477329,9.227804165,9.311254178,372778000
204,25-10-2010,9.304325104,9.387474244,9.292274154,9.31185735,392462000
205,26-10-2010,9.280527115,9.331441179,9.20822221,9.244977612,392929600
206,27-10-2010,9.273897171,9.336258821,9.206714337,9.268474244,399002800
207,28-10-2010,9.195869446,9.279018583,9.065119864,9.277511812,551051200
208,29-10-2010,9.067526817,9.215147689,9.064212405,9.165438743,430511200
209,01-11-2010,9.163933754,9.206713816,9.104283168,9.104885716,423889200
210,02-11-2010,9.319991112,9.344996432,9.248892917,9.248892917,433930000
211,03-11-2010,9.423625946,9.426036136,9.294984889,9.380544208,508348400
212,04-11-2010,9.588421822,9.64596391,9.490810721,9.503464221,642488000
213,05-11-2010,9.554079056,9.627588271,9.542631453,9.579988609,361253200
214,08-11-2010,9.598962784,9.633608052,9.542926681,9.556182724,281758400
215,09-11-2010,9.522443771,9.679705469,9.474844122,9.672173222,383544000
216,10-11-2010,9.581186295,9.603479739,9.446218118,9.539309661,384227200
217,11-11-2010,9.539615631,9.59233733,9.467310736,9.489905865,361284000
218,12-11-2010,9.279921532,9.535094337,9.147365118,9.520031455,795846800
219,15-11-2010,9.250099182,9.355542599,9.226901502,9.292879257,403606000
220,16-11-2010,9.085905075,9.266966134,9.017517156,9.210328291,657650000
221,17-11-2010,9.053071022,9.158212764,8.970523609,9.074159384,479449600
